date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
12/31/1960,37.02988385,83.0351,
12/31/1961,39.23243575,85.9697,3.7227
12/31/1962,42.16148182,90.2769,2.9311
12/31/1963,48.42192342,101.3152,5.9944
12/31/1964,56.4802899,115.4876,7.453
12/31/1965,59.55485458,119.0825,-2.6358
12/31/1966,45.86546203,89.7576,-0.0553
12/31/1967,50.13494216,96.0463,7.826
12/31/1968,53.08545582,99.5168,3.3879
12/31/1969,58.44799497,107.1821,6.5397
12/31/1970,62.422483,111.9683,5.1572
12/31/1971,67.35140797,118.1605,1.6429
12/31/1972,71.46319383,122.6125,-0.5533
12/31/1973,85.51526959,143.4561,3.2955
12/31/1974,99.52589912,163.2316,1.1853
12/31/1975,98.47279646,157.9294,9.1499
12/31/1976,102.7171645,161.1372,1.6631
12/31/1977,121.4866456,186.4191,7.2548
12/31/1978,137.3002953,206.0737,5.7125
12/31/1979,152.9916538,224.5754,-5.2382
12/31/1980,186.3253451,267.3906,6.7358
12/31/1981,193.4913732,271.4262,6.0062
12/31/1982,200.7156336,275.2661,3.4757
12/31/1983,218.2621547,292.6447,7.2889
12/31/1984,212.1576392,278.0954,3.8207
12/31/1985,232.5115612,297.9993,5.2543
12/31/1986,248.985994,312.0598,4.7766
12/31/1987,279.0335841,342.0719,3.9654
12/31/1988,296.5896777,355.7384,9.6278
12/31/1989,296.0420589,347.462,5.9473
12/31/1990,320.9790264,368.7498,5.5335
12/31/1991,270.1053419,303.8504,1.0568
12/31/1992,288.2080666,317.5587,5.4824
12/31/1993,279.2956445,301.5008,4.7508
12/31/1994,327.2755835,346.2274,6.6589
12/31/1995,360.2819079,373.6282,7.5745
12/31/1996,392.8968607,399.5773,7.5495
12/31/1997,415.8675673,414.8987,4.0498
12/31/1998,421.3513189,412.5094,6.1844
12/31/1999,458.8204173,440.9615,8.8458
12/31/2000,468.3949373,442.0348,3.841
12/31/2001,485.4410145,449.9111,4.824
12/31/2002,514.9379489,468.8444,3.804
12/31/2003,607.6992854,543.8438,7.8604
12/31/2004,709.1485148,624.1051,7.9229
12/31/2005,820.3815955,710.5093,7.9234
12/31/2006,940.2598888,802.0137,8.0607
12/31/2007,1216.736449,1022.7325,7.6608
12/31/2008,1198.895148,993.5034,3.0867
12/31/2009,1341.888017,1096.6361,7.8619
12/31/2010,1675.615503,1350.6345,8.4976
12/31/2011,1823.05183,1449.6033,5.2413
12/31/2012,1827.63758,1434.018,5.4564
12/31/2013,1856.721495,1438.057,6.3861
12/31/2014,2039.12647,1559.8638,7.4102
12/31/2015,2103.588347,1590.1743,7.9963
12/31/2016,2294.79689,1714.2795,8.2563
12/31/2017,2651.474263,1957.9698,6.7954
12/31/2018,2702.92964,1974.3777,6.4539
12/31/2019,2835.606242,2050.1638,3.8714
12/31/2020,2671.59539,1913.2197,-5.8311
12/31/2021,3150.306834,2238.1271,9.0503
12/31/2022,3385.089882,2388.6212,7.003
